ID,Gene Symbol
1553226_PM_at,NCRNA00052
1553227_PM_s_at,BRWD1
1553228_PM_at,CCDC89
1553229_PM_at,ZNF572
1553232_PM_at,FAM82A1
1553234_PM_at,ADAMTS18
1553235_PM_at,PCDHAC1
1553237_PM_x_at,PCDHAC1
1553238_PM_a_at,HIPK4
1553239_PM_at,FAM124A
1553241_PM_at,NKAIN3
1553243_PM_at,ITIH5
1553244_PM_at,FANCB
1553246_PM_a_at,SGK196
1553247_PM_a_at,ZNF709
1553248_PM_at,CCDC57
1553249_PM_at,SMC1B
1553252_PM_a_at,BRWD3
1553253_PM_at,ASB16
1553254_PM_at,MAGEE2
1553255_PM_at,HERV-V1
1553257_PM_at,GAL3ST3
1553258_PM_at,FLJ30679
1553260_PM_s_at,ALS2CR11
1553261_PM_x_at,ALS2CR11
1553262_PM_a_at,UTS2R
1553263_PM_at,USH1G
1553264_PM_a_at,SYN1
1553265_PM_at,SLC23A3
1553266_PM_at,CNOT6L
1553267_PM_a_at,CNOT6L
1553268_PM_at,RHBDL3
1553269_PM_at,
1553271_PM_at,DIP2B
1553272_PM_at,SLC36A1
1553274_PM_a_at,SNRNP48
1553275_PM_s_at,
1553276_PM_at,ZNF560
1553277_PM_at,RTTN
1553279_PM_at,BTNL9
1553280_PM_at,PUS10
1553281_PM_at,PLCXD2
1553282_PM_at,C21orf128
1553284_PM_s_at,LMLN
1553285_PM_s_at,RAD9B
1553286_PM_at,ZNF555
1553288_PM_a_at,C7orf51
1553292_PM_s_at,SGK494
1553293_PM_at,MRGPRX3
1553295_PM_at,ABCA13
1553296_PM_at,GPR128
1553297_PM_a_at,CSF3R
1553298_PM_at,C17orf77
1553299_PM_at,DUSP5P
1553300_PM_a_at,DGKH
1553301_PM_a_at,TMEM182
1553303_PM_at,C16orf46
1553304_PM_at,LSM14B
1553306_PM_at,CASP8
1553310_PM_at,PLB1
1553311_PM_at,C20orf197
1553313_PM_s_at,SLC5A3
1553314_PM_a_at,KIF19
1553315_PM_at,SLFNL1
1553316_PM_at,GPR82
1553317_PM_s_at,GPR82
1553318_PM_at,RIBC1
1553319_PM_at,OXGR1
1553320_PM_s_at,CDC14C
1553321_PM_a_at,SULT1C4
1553322_PM_s_at,TEAD1
1553323_PM_a_at,CATSPER2
1553325_PM_at,POU5F2
1553326_PM_at,RXFP2
1553327_PM_a_at,BEND7
1553328_PM_a_at,SLC18A2
1553329_PM_at,C7orf45
1553330_PM_at,C7orf45
1553333_PM_at,C1orf161
1553335_PM_x_at,LOC285696
1553336_PM_a_at,MIER3
1553338_PM_at,C1orf55
1553340_PM_s_at,AMAC1 /// AMAC1L2
1553341_PM_at,UROC1
1553344_PM_at,PCDH15
1553346_PM_a_at,TNRC6A
1553347_PM_s_at,KCNA6
1553348_PM_a_at,NFX1
1553349_PM_at,ARID2
1553350_PM_at,FAM123C
1553351_PM_at,OTUD7A
1553352_PM_x_at,ERVWE1
1553354_PM_a_at,FLJ31958
1553355_PM_at,
1553356_PM_at,
1553357_PM_at,LOC158696
1553359_PM_at,FBXL18
1553361_PM_x_at,FBXL18
1553362_PM_at,DNAH6
1553363_PM_at,C6orf195
1553364_PM_at,PNPLA1
1553365_PM_at,DEPDC4
1553366_PM_s_at,ANKRD23 /// ANKRD39
